dateSize,random,growing,degrowing
10000,0.189949797,0.117743038,0.122965537
20000,0.904767099,0.477480962,0.474542231
30000,1.947637244,0.876775928,1.183969627
100000,16.177008706,9.775258074,11.423217198
200000,70.766337335,39.44306583,45.482550949
300000,175.45941102,87.868461449,103.423298751
1000000,2173.813988170,1028.831521404,1181.145936624
