dateSize,random,growing,degrowing
10000,0.21242830,0.13629228,0.5332331
20000,0.18504806,0.16813703,0.11327231
30000,0.23879976,0.21183626,0.32111929
100000,0.91264617,0.96700897,0.78960922
200000,0.172156975,0.146981907,0.143763621
300000,0.267864780,0.240107236,0.245006859
1000000,1.68286937,0.853243782,0.849112387
