tamanhoData,aleatorio,crescente,decrescente
10000,0.67158,0.23236692,0.60433
20000,0.1436004,0.142783,0.207239
30000,0.304784,0.343025,0.177313
100000,0.1407419,0.17570718,0.1321420
200000,0.3842621,0.3689322,0.3700488
300000,0.6259430,0.21854069,0.5760903
1000000,0.34156576,0.22394463,0.22130778
