tamanhoData,aleatorio,crescente,decrescente
10000,0.185204951,0.109136245,0.113509065
20000,0.829770644,0.406131274,0.453937162
30000,1.914838235,0.875539390,1.30045342
100000,16.49910467,9.735539516,11.363646560
200000,70.563481068,39.10197407,45.419799725
300000,170.406915826,87.900084804,102.546672188
1000000,2168.559916430,1024.996809326,1182.540826997
