tamanhoData,aleatorio,crescente,decrescente
10000,0.86887704,0.97552404,0.100672609
20000,0.394587235,0.426224242,0.416687472
30000,0.893225552,0.973615231,0.949492431
100000,9.731344360,9.729857341,10.311837181
200000,38.935008809,38.897175993,41.397128580
300000,87.795639232,87.730900232,93.392292326
1000000,1016.699805314,1016.157709361,1084.867008725
