tamanhoData,aleatorio,crescente,decrescente
10000,0.62254,0.67302,0.77837
20000,0.1179394,0.145204,0.119594
30000,0.222068,0.180539,0.306681
100000,0.28269838,0.1467517,0.4929068
200000,0.3707959,0.4530445,0.43943934
300000,0.11738880,0.53096692,0.42212174
1000000,0.21261893,0.75682990,0.23752747
