tamanhoData,aleatorio,crescente,decrescente
10000,0.49741075,0.209657,0.150002635
20000,0.201208935,0.728916,0.470115741
30000,0.437176549,0.720353,0.875664099
100000,2.454030659,0.18908733,9.730389975
200000,12.272054882,0.33348440,39.25462690
300000,31.740649630,0.38488980,88.47739476
1000000,455.815274094,0.59199219,1023.380636934
